step,policy,seed,failure_scenario,coverage,active_drones,mean_energy,hives,connected_hive_fraction,exploration_depth
34,carrier_only,21,0,0.09768518518518518,24,31.8298940602117,1,1.0,36.54667987396356
35,carrier_only,21,0,0.10150462962962963,24,31.77863432460491,1,1.0,37.24810217801765
36,carrier_only,21,0,0.10451388888888889,24,31.74079508104013,1,1.0,38.21947399890159
37,carrier_only,21,0,0.10844907407407407,24,31.690885020769752,1,1.0,38.4034719872046
38,carrier_only,21,0,0.11157407407407408,24,31.622587414472324,1,1.0,39.1769192227656
39,carrier_only,21,0,0.11446759259259259,24,31.56043867299465,1,1.0,40.137385085994794
40,carrier_only,21,0,0.1175925925925926,24,31.484651226564804,1,1.0,40.487705815684045
41,carrier_only,21,0,0.12037037037037036,24,31.43324949121673,1,1.0,41.17768330553998
42,carrier_only,21,0,0.1244212962962963,24,31.348703789160155,1,1.0,42.466186823900415
43,carrier_only,21,0,0.12743055555555555,24,31.241624064676767,1,1.0,42.98700731120744
44,carrier_only,21,0,0.13090277777777778,24,31.1359319452849,1,1.0,43.56254542781523
45,carrier_only,21,0,0.1335648148148148,24,31.04759438915599,1,1.0,44.023227995369254
46,carrier_only,21,0,0.1371527777777778,24,30.93670002902579,1,1.0,44.74271446746252
47,carrier_only,21,0,0.14074074074074075,24,30.799288241443985,1,1.0,45.508937878971764
48,carrier_only,21,0,0.14444444444444443,24,30.61227971323301,1,1.0,46.41211528839114
49,carrier_only,21,0,0.1476851851851852,24,30.466061345122554,1,1.0,47.52803916674165
50,carrier_only,21,0,0.15231481481481482,24,30.266610342959478,1,1.0,48.33932955420617
51,carrier_only,21,0,0.15520833333333334,24,30.087122341862322,1,1.0,48.553456381359155
52,carrier_only,21,0,0.15949074074074074,24,29.869793366019195,1,1.0,49.69404820739825
53,carrier_only,21,0,0.1633101851851852,24,29.674629218673754,1,1.0,50.38584773304313
54,carrier_only,21,0,0.16666666666666666,24,29.454705519004808,1,1.0,50.81891585818398
55,carrier_only,21,0,0.17083333333333334,24,29.19993909090482,1,1.0,51.18858477829535
56,carrier_only,21,0,0.17453703703703705,24,28.960000158931553,1,1.0,51.69153886765407
57,carrier_only,21,0,0.1769675925925926,24,28.7220483444045,1,1.0,52.35195519130763
58,carrier_only,21,0,0.18020833333333333,24,28.469999698762745,1,1.0,52.99384618979638
59,carrier_only,21,0,0.1832175925925926,24,28.21332483652233,1,1.0,53.35510826052042
60,carrier_only,21,0,0.1865740740740741,24,27.91319965754127,1,1.0,53.647133413266445
61,carrier_only,21,0,0.1892361111111111,24,27.62044635064936,1,1.0,54.303479347114
62,carrier_only,21,0,0.19236111111111112,24,27.342452276441758,1,1.0,54.69980507825893
63,carrier_only,21,0,0.19560185185185186,24,27.02495188624864,1,1.0,55.843273211216655
64,carrier_only,21,0,0.19895833333333332,24,26.72077776636046,1,1.0,56.39301640588207
65,carrier_only,21,0,0.20150462962962962,24,26.412597113368246,1,1.0,57.020220487333695
66,carrier_only,21,0,0.20439814814814813,24,26.085917469357266,1,1.0,57.973836120809125
67,carrier_only,21,0,0.20787037037037037,24,25.751613925393997,1,1.0,58.58747404186105
68,carrier_only,21,0,0.21041666666666667,24,25.411273276507938,1,1.0,59.14432806593151
